Skill,Mastery,Category
Max MSP,todo,Creative
Hibernate / H2,todo,Backend
MVC,todo,Backend
Node.js,todo,Backend
Django,inprogress,Backend
Python,inprogress,Backend
Touch Designer,todo,Creative
d3 Data Viz,todo,Frontend
Raspberry Pi Programming,inprogress,Other
Linux/Bash,mastered,Backend
Spring Framework,mastered,Backend
Ableton Live,mastered,Music
ProTools,mastered,Music
Adobe Creative Suite,mastered,Creative
PHP,mastered,Backend
Bootstrap / Responsive Design,mastered,Frontend
HTML 5,mastered,Frontend
CSS5,mastered,Frontend
Python Essentials,mastered,Backend
Javascript Essentials,mastered,Frontend
Java ,mastered,Backend
MySQL,mastered,Backend
Git Source Control,mastered,Other
Angular,inprogress,Frontend
GoLang,todo,Backend
Express.js,todo,Backend
GraphQL,inprogress,Backend
Apollo Client,inprogress,Frontend
Next.js,inprogress,Backend
React.js,inprogress,Frontend
SCSS/Sass,todo,Frontend